,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,recentness,score
10,+,A. Townsend Peterson,"University Distinguished Professor, Biodiversity Institute and Dept of Ecology &amp; Evolutionary",ku.edu,18484.0,id_uRZIRj0AAAAJ,1114.0,20.0,45.0,35.0,0.01476822070111965,0.6558720508407256,33.532013577092265
11,+,Satnam Singh,"Professor of Reconfigurable Systems, University of Birmingham",cs.bham.ac.uk,9714.0,id_q_czEj0AAAAJ,1050.0,19.0,49.0,28.0,0.035336221000762384,0.7058758109360519,37.06060159684071
12,+,Hugen Yan,IBM TJ Watson Research Center,us.ibm.com,7434.0,id_OG0JzcUAAAAJ,939.0,15.0,34.0,26.0,0.02925255962622575,0.7010260823513836,36.51393209888047
13,+,Joseph Wang,"New Mexico State university, Arizona State university, Technion, University California San  &hellip;",ucsd.edu,62607.0,id_0DEykT4AAAAJ,931.0,34.0,217.0,54.0,0.07962442877370697,0.6874765523632994,38.35504905685032
14,+,"Jiti Gao, Australian Professorial Fellow and Chair Professor of Econometrics","Department of Econometrics and Business Statistics, Monash University, Caulfield East  &hellip;",monash.edu,2047.0,id_BVke6rMAAAAJ,891.0,8.0,8.0,13.0,0.01277049440755413,0.7121289024228784,36.24496984152164
15,+,Junshan Zhang,"Professor of Electrical, Computer and Energy Engineering, Arizona State Univ",asu.edu,16484.0,id_UtAdFs8AAAAJ,885.0,29.0,137.0,39.0,0.06439498680317209,0.6788667549318151,37.16308708674936
16,+,Ligang He,"Associate Professor of Computer Science, University of Warwick, United Kingdom",warwick.ac.uk,8583.0,id_g3lthZYAAAAJ,879.0,20.0,48.0,34.0,0.03022182955740244,0.6984046074407521,36.431321849907725
17,+,xiaoyuan chen,National Institutes of Health,nih.gov,26097.0,id_XBxXjAQAAAAJ,817.0,42.0,201.0,72.0,0.07199927619973928,0.6890957500330994,38.05475131164193
18,-,Swagatam Das,"Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata",,4905.0,id_L8XYpAwAAAAJ,751.0,17.0,48.0,34.0,0.036271623131699036,0.6994121276314048,36.7841875381552
19,+,Xiaoyuan Chen,National Institutes of Health,nih.gov,14600.0,id__yF5knkAAAAJ,703.0,37.0,139.0,66.0,0.05612726851344932,0.6907149477028995,37.34211081081745
20,+,Jian Zhang,"University of Technology, Sydney, Australia",uts.edu.au,8489.0,id_qrNPFTQAAAAJ,611.0,18.0,43.0,40.0,0.03227453949739128,0.6668953528399312,34.95849461686612
21,+,Licheng Jiao,"Professor, Xidian University, Xi&#39;an, China",ieee.org,10210.0,id_cYR4SfIAAAAJ,600.0,17.0,31.0,26.0,0.02775283485335742,0.6598147491063153,34.37837919798364
22,+,Eric Leuthardt,Washington University School of Medicine,wustl.edu,1752.0,id_nk3OcBoAAAAJ,560.0,12.0,13.0,21.0,0.006258576017709839,0.6316670991658944,31.89628375918021
23,+,Sergio Tufik,"Professor titular do Departamento de Psicobiologia, Universidade Federal de Sï¿½o Paulo",unifesp.br,8531.0,id_Cup35-EAAAAJ,484.0,18.0,58.0,22.0,0.02652025212432771,0.6679465642790944,34.7233408201711
24,+,Ajith Abraham,Machine Intelligence Research Labs (MIR Labs),ieee.org,8171.0,id_i95DGLQAAAAJ,476.0,23.0,59.0,40.0,0.030351731199666717,0.6543970342910101,34.237438274533844
25,+,Yingxu Wang,"Professor of Cognitive Computing &amp; Software Science, University of Calgary, Canada",ucalgary.ca,8388.0,id_gRVQjskAAAAJ,475.0,23.0,80.0,33.0,0.04485713101801651,0.6411533430424996,34.300523703025796
26,+,Nicola Maffulli,"Professor of Sport and Exercise Medicine, Consultant Trauma and Orthopaedic Surgeon",keele.ac.uk,16690.0,id_m9vjm0wAAAAJ,465.0,37.0,150.0,47.0,0.044683855259459684,0.6803164305573944,36.25001429084271
27,+,Wenjun Li,Medical College of Wisconsin,mcw.edu,2094.0,id_4i_NwXcAAAAJ,454.0,11.0,16.0,19.0,0.01315401069481332,0.6798358268237786,34.649491875929606
28,+,L Hanzo,"Chair of Telecommunications, University of Southampton",ecs.soton.ac.uk,15059.0,id_p0jnEW0AAAAJ,446.0,14.0,34.0,21.0,0.026254891163001767,0.6596862968356945,34.29705939993481
29,+,Antonio Gasbarrini,"Professore di Gastroenterologia, Universita&#39; Cattolica, Roma, Italia",iol.it,11768.0,id_XXUEITsAAAAJ,446.0,18.0,37.0,24.0,0.014196486092865356,0.6794862968356944,34.68413914642799
30,+,HV Poor,"Dean of Engineering and Applied Science, Princeton University",princeton.edu,24637.0,id_Dq93mOUAAAAJ,445.0,34.0,113.0,58.0,0.04544588693261816,0.6596426055871839,35.2544246259901
31,+,Rakesh Kumar,Sarnoff,sarnoff.com,10141.0,id_HN8BPrEAAAAJ,442.0,14.0,24.0,26.0,0.01507122605770224,0.6727115318416522,34.389137894967725
32,+,Sandro De Cecco,Universite D. Diderot Paris7 &amp; LPNHE Paris,lpnhe.in2p3.fr,13585.0,id_775UehEAAAAJ,440.0,43.0,135.0,71.0,0.04083182781000154,0.7188241493446313,37.982798857731645
33,-,haiyuan zhang,,Dr.,1850.0,id_OQpkedwAAAAJ,420.0,11.0,12.0,16.0,0.014520818994083187,0.6717503243744208,34.3135571684252
34,+,Joshua S. Bloom,"Associate Professor of Astronomy, UC Berkeley",astro.berkeley.edu,16687.0,id_fHkUYk0AAAAJ,407.0,29.0,75.0,48.0,0.022710834849091463,0.664582338143784,34.36465864964377
35,+,Yingdan Wang,McGill University,mcgill.ca,7304.0,id_NbyVHb0AAAAJ,383.0,20.0,53.0,30.0,0.02358021221539377,0.6635337481795313,34.35569801974625
36,+,Andreas Warburton,McGill University,physics.mcgill.ca,30188.0,id_HI4OwhYAAAAJ,377.0,42.0,135.0,77.0,0.04136504228862083,0.6962716006884682,36.88183214885445
37,+,Sergio Campana,Osservatorio astronomico di Brera,brera.inaf.it,13900.0,id_UcrbVW0AAAAJ,373.0,23.0,45.0,39.0,0.01544812807377576,0.6828968356944262,34.91724818841009
38,+,Jeffrey Xu Yu,Chinese University of Hong Kong,se.cuhk.edu.hk,5399.0,id_iHevumsAAAAJ,366.0,18.0,34.0,31.0,0.016926550957001574,0.6627909969548524,33.9858773955927
39,+,Hai Jin,Huazhong University of Science and Technology,hust.edu.cn,3893.0,id_o02W0aEAAAAJ,356.0,17.0,31.0,26.0,0.018676488229835447,0.6491540844697471,33.39152863497913
40,+,Benjamin J. Eggleton,"Professor, School of Physics, University of Sydney, CUDOS ARC Centre of Excellence",physics.usyd.edu.au,13551.0,id_V2cnMDEAAAAJ,349.0,26.0,60.0,41.0,0.01922082399380276,0.6488482457301734,33.403453486198806
41,+,Edward L. Wright,"Professor of Physics and Astronomy, UCLA",astro.ucla.edu,52372.0,id_0rlyyTwAAAAJ,340.0,20.0,31.0,99.0,0.011565390828867258,0.6814550244935788,34.6510207661223
42,+,Wayne Hall,"Professor, University of Queensland",uq.edu.au,22166.0,id_2iChS8UAAAAJ,337.0,19.0,51.0,29.0,0.021150440248224118,0.7011239507480472,36.113719549813574
43,+,Nancy R Gough,"Editor of Science Signaling, AAAS",aaas.org,313.0,id_e3jeb_QAAAAJ,335.0,2.0,0.0,3.0,0.0015444715649404765,0.6482365682510259,32.48905199079833
