,name,ID,score,rank
0,Jiming Liu,id_Il6ArO0AAAAJ,61.81337305633063,1
1,Anuj Kumar Singh,id_XSGHN8IAAAAJ,53.883378060030786,2
2,yanxi liu,id_9gpR5y0AAAAJ,46.330062370257636,3
3,Akash Kumar,id_7Q6OSvsAAAAJ,43.499051643313045,4
4,Ziqiang Wang,id_tiGGCdIAAAAJ,43.33152254120768,5
5,Joseph Wang,id_0DEykT4AAAAJ,38.35504905685032,6
6,Tao Jiang,id_3PCz1j0AAAAJ,38.15649421728653,7
7,Qingfu Zhang,id_nhL9PHwAAAAJ,38.06580292359904,8
8,xiaoyuan chen,id_XBxXjAQAAAAJ,38.05475131164193,9
9,Sandro De Cecco,id_775UehEAAAAJ,37.982798857731645,10
10,Li Zhang,id_Hl5HymUAAAAJ,37.71080711532022,11
11,Paolo Bartalini,id_lPEYqq0AAAAJ,37.4139703841421,12
12,Maxine Sun,id_B-v3OxoAAAAJ,37.413755866266754,13
13,Xiaoyuan Chen,id__yF5knkAAAAJ,37.34211081081745,14
14,Yuriy Pakhotin,id_AruD24EAAAAJ,37.23234981914736,15
15,Fernando Barreiro,id_KFn1SBoAAAAJ,37.19804467957034,16
16,Junshan Zhang,id_UtAdFs8AAAAJ,37.16308708674936,17
17,Francesca Cavallari,id_-qcSoakAAAAJ,37.07165104789009,18
18,Satnam Singh,id_q_czEj0AAAAJ,37.06060159684071,19
19,Julia Velkovska,id_kkJMCHEAAAAJ,37.04581816735197,20
20,Leida Chen,id_OGlJtigAAAAJ,36.923223568215015,21
21,Andreas Warburton,id_HI4OwhYAAAAJ,36.88183214885445,22
22,Swagatam Das,id_L8XYpAwAAAAJ,36.7841875381552,23
23,Professor Dr. Issam AW Mohamed,id_vQ0c5jEAAAAJ,36.66195457228811,24
24,TELKOMNIKA Indonesian Journal of Electrical Engineering,id_zjG_ufEAAAAJ,36.66033128911681,25
25,Gaetano Golinelli,id_-M_CbLAAAAAJ,36.51668049456064,26
26,Hossein Tabari,id_W_T7AtoAAAAJ,36.51611584190963,27
27,Bruce E Murdoch,id_fDd9M9AAAAAJ,36.51576242133504,28
28,Hugen Yan,id_OG0JzcUAAAAJ,36.51393209888047,29
29,Ugur Akgun,id_a5gr_3QAAAAJ,36.48911329216135,30
30,Lev Dudko,id_zEQGLhoAAAAJ,36.469901963737776,31
31,Dr. Tessy Theres Baby,id_KgjF-HgAAAAJ,36.434741106339345,32
32,Damien Fordham,id_mTLjM9QAAAAJ,36.4319445246502,33
33,Ligang He,id_g3lthZYAAAAJ,36.431321849907725,34
34,Ameer E. Hassan,id_ANUnBIgAAAAJ,36.43061815655261,35
35,Suraj Srinivasan,id_tjH4YPgAAAAJ,36.423505045983035,36
36,J. biomedical semantics,id_anDLFa0AAAAJ,36.42128825452257,37
37,Anders Gaarsdal Holst,id_dvTrT2wAAAAJ,36.42029838189992,38
38,Abdulrahman M El-Sayed,id_0RxsP2cAAAAJ,36.41718743315703,39
39,John W. Graham,id_Oiw7kDwAAAAJ,36.41362010551772,40
40,Gurkan Bebek,id_b5tAkfwAAAAJ,36.40612516883113,41
41,Tyler Williamson,id_WCP1A68AAAAJ,36.40538673314373,42
42,Jun-long Kou,id_ZHEVF3oAAAAJ,36.40435824969233,43
43,Lester Ingber,id_glc0bl4AAAAJ,36.40167391108072,44
44,Waseem Kaialy,id_bpSFN5QAAAAJ,36.39712746651082,45
45,Aynur Aktas,id_03RxS5gAAAAJ,36.395823676778825,46
46,John Joseph McGrath,id_KR7K-XEAAAAJ,36.380346079026474,47
47,Joshua H. West,id_8HfHSQQAAAAJ,36.3781460123815,48
48,Janardhanan Sivaramakrishnan,id_7AgGeAgAAAAJ,36.37699384765239,49
49,Issam AW Mohamed,id_UTXkp58AAAAJ,36.37564582079864,50
50,Yakov Frayman,id_5QxN9a4AAAAJ,36.37483867206029,51
51,Apurba Sarker Apu,id_hAOwUSEAAAAJ,36.37364957324586,52
52,Amir Pakpour,id_dc5FSKcAAAAJ,36.372448336517756,53
53,Sadegh Ghorbani-Dalini,id_jN57uy4AAAAJ,36.37072050171143,54
54,"Ahmed, Waqas",id_Tt8AB00AAAAJ,36.35697184412727,55
55,Maurice de Gosson,id_QoT07LsAAAAJ,36.356202443246225,56
56,Scott Davis,id_gplaWX8AAAAJ,36.3548356457358,57
57,pietro ruggieri,id_uD-FbvIAAAAJ,36.308866760951226,58
58,BRIJESH SATHIAN,id_pDsGZyQAAAAJ,36.288260954996595,59
59,Prof. Dr. BK SAROJINI,id_tmk7nY8AAAAJ,36.277639884390986,60
60,Seranthimata SAMSHUDDIN,id_5q27PVUAAAAJ,36.258653767597345,61
61,Tanmoy Das,id_AFHzUlMAAAAJ,36.25579266434664,62
62,Nicola Maffulli,id_m9vjm0wAAAAJ,36.25001429084271,63
63,Asian Journal of Sports Medicine,id_9E5i-fUAAAAJ,36.24675879044641,64
64,"Jiti Gao, Australian Professorial Fellow and Chair Professor of Econometrics",id_BVke6rMAAAAJ,36.24496984152164,65
65,Eduardo Martï¿½n-Martï¿½nez,id_AhUfKjkAAAAJ,36.196475520824926,66
66,Stephen Schmidt,id_ncMnqbwAAAAJ,36.19167855948521,67
67,Stewart Adam,id_GY5PGRkAAAAJ,36.17391102006519,68
68,Zhan Ma,id_78KxtRMAAAAJ,36.16789093765245,69
69,Philip Gibbs,id_Au-AVHsAAAAJ,36.167429600024384,70
70,Wael Almahmeed,id_aBdQ4qcAAAAJ,36.163580146743286,71
71,Fabio  Cesar Gozzo,id_FEL4hZ8AAAAJ,36.16309778866251,72
72,Simon R. Harris,id_Z_-fdA4AAAAJ,36.15831696307035,73
73,Rajan Gupta,id_0tEMY3kAAAAJ,36.15205305117394,74
74,Xiaopeng Li,id_zBz9dP8AAAAJ,36.151857108232605,75
75,Brian A Walker,id_3kI52KAAAAAJ,36.15131864588504,76
76,Vinitha Sree S,id_YKcX4D0AAAAJ,36.149940681836476,77
77,Bruce Yabsley,id_D0SJGwoAAAAJ,36.13475555201172,78
78,Rajiv Dharaskar,id_AHtDnRcAAAAJ,36.133094209286725,79
79,Hieu Trinh,id_3oghCzEAAAAJ,36.131230818239054,80
80,Matthew T. McDowell,id_VRZVDH8AAAAJ,36.130571445611274,81
81,Ray Lucas,id_Z3IUmEAAAAAJ,36.128972783762634,82
82,Eli D. Ehrenpreis,id_4MRp5MAAAAAJ,36.12889261105493,83
83,Mauro Pasta,id_H0f4GhwAAAAJ,36.122574202521356,84
