,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,recentness,score
0,-,Michel Foucault,"Philosophy, Collï¿½ge de France",,274933.0,id_AKqYlxMAAAAJ,49.0,16.0,22.0,49.0,0.007318672827340133,0.6093408711770159,30.8329772002178
1,-,Pierre Bourdieu,"Sociology, Centre de Sociologie Europï¿½enne, Collï¿½ge de France",,253192.0,id_d_lp40IAAAAJ,45.0,11.0,13.0,45.0,0.0047010217974590655,0.6157661061829737,31.023356399021637
2,-,Oliver H. Lowry,,"Biochemistry, Washington University in St. Louis",250254.0,id_YCS0XAcAAAAJ,1.0,1.0,0.0,1.0,4.542345914637694e-05,0.6600436912485105,33.00445573538284
3,-,Herbert Simon,"Professor of Computer Science, Carnegie Mellon",,178637.0,id_9d7rMrkAAAAJ,10.0,3.0,2.0,10.0,0.000926376391955875,0.6406369124851052,32.07816444385305
4,+,"Graham Colditz, MD, DrPH","Professor, Dept. of Surgery, Washington University School of Medicine, St. Louis",wudosis.wustl.edu,156961.0,id_M5_mEHQAAAAJ,143.0,22.0,52.0,42.0,0.015872352447012347,0.6662478485370052,34.106010049200876
5,-,Max Weber,"Sociology, Universities of Berlin, Freiburg, Heidelberg, Vienna, Munich",,134547.0,id_fT8j_PUAAAAJ,24.0,8.0,8.0,24.0,0.002828313433896125,0.5950485899642526,29.89384516990744
6,-,Erving Goffman,"Sociology, University of Pensylvannia",,114246.0,id_rahhbn0AAAAJ,8.0,4.0,3.0,8.0,0.0010698650879552485,0.6273495299880842,31.420969753801977
7,+,Donald B Rubin,"John L. Loeb Professor of Statistics, Harvard University",stat.harvard.edu,112440.0,id_5q4fhUoAAAAJ,39.0,10.0,11.0,17.0,0.003357273775849831,0.6353039586919105,31.933061623388014
8,+,robert tibshirani,"Professor of Health Research and Policy, and Statistics, Stanford University",stanford.edu,112355.0,id_ZpG_cJwAAAAJ,133.0,22.0,36.0,123.0,0.012517433690132765,0.6394109360518999,32.596418487101644
9,-,Jiming Liu,"Chair Professor of Computer Science, Hong Kong Baptist University",,110211.0,id_Il6ArO0AAAAJ,6047.0,44.0,562.0,76.0,0.3252664813834641,0.9110009797431484,61.81337305633063
10,-,Karl Marx,"Universities of Bonn, Berlin, and Jena",,105358.0,id_I6dIhHQAAAAJ,67.0,14.0,17.0,67.0,0.0069073028916941314,0.6233273136502052,31.51173082709497
11,-,Jacques Derrida,"Philosophy, ï¿½cole des Hautes ï¿½tudes en Sciences Sociales de Paris (EHESS)",,101567.0,id_0A_lO2UAAAAJ,125.0,13.0,15.0,23.0,0.00565350983416776,0.6060614060638158,30.58574579489918
12,+,Eric Topol,"Professor of Genomics, The Scripps Research Institute",scripps.edu,101077.0,id_E2-uIQYAAAAJ,138.0,29.0,52.0,56.0,0.016382516490601868,0.6594293922944525,33.79059543925272
13,+,Lotfi A. Zadeh,"Professor Emeritus, EECS, UC Berkeley",eecs.berkeley.edu,100198.0,id_S6H-0RAAAAAJ,204.0,10.0,12.0,25.0,0.00763330610221763,0.6425130146961472,32.507316039918244
14,+,Michael C. Jensen,"Jesse Isidor Straus Professor of Business, Emeritus, Harvard Business School",hbs.edu,97386.0,id_44R7TLwAAAAJ,45.0,5.0,4.0,18.0,0.0018927071969135941,0.6619661061829737,33.19294066899437
15,+,des higgins,University College Dublin,ucd.ie,92523.0,id_Ap0K7rUAAAAJ,28.0,11.0,12.0,19.0,0.0037735650318023155,0.6216233549582947,31.269845999504852
16,-,Clifford Geertz,"Anthropology, Princeton University",,83400.0,id_V4PPW_cAAAAJ,16.0,3.0,3.0,16.0,0.0010938811693788565,0.6210990599761684,31.10964705727736
17,+,Eugene Koonin,"Senior Investigator, NCBI, NIH",ncbi.nlm.nih.gov,82578.0,id_F4P3ghEAAAAJ,153.0,30.0,75.0,49.0,0.02080907987143851,0.6402847610221104,33.054692044677445
18,+,James Heckman,"Professor of Economics, University of Chicago",uchicago.edu,81548.0,id_7EelTwgAAAAJ,130.0,23.0,39.0,52.0,0.012508604129254957,0.6392798623063684,32.58942332178116
19,+,Anil K. Jain,Michigan State University,cse.msu.edu,81337.0,id_g-_ZXGsAAAAJ,129.0,21.0,42.0,60.0,0.014494620750904528,0.6392361710578578,32.68653959043812
20,+,Albert-Laszlo Barabasi,"Northeastern University, Harvard Medical School",neu.edu,79971.0,id_vsj2slIAAAAJ,68.0,23.0,29.0,60.0,0.009627712586236063,0.6563710048987158,33.299935874247595
21,+,H. Eugene Stanley,"Professor of Physics, Boston University",bu.edu,77444.0,id_1fatN9EAAAAJ,205.0,25.0,70.0,39.0,0.02085742367177277,0.6623567059446578,34.16070648082153
22,+,Guido Kroemer,Paris Descartes University,igr.fr,77013.0,id_OU05Q_MAAAAJ,328.0,49.0,148.0,97.0,0.04311564187820584,0.6677307295114525,35.54231856948292
23,-,John Rawls,"Philosophy, Harvard University",,76920.0,id_clG4xHAAAAAJ,21.0,6.0,5.0,16.0,0.0018074830558798016,0.621317516218721,31.156249963730048
24,-,Theodor Adorno,"Sociology, Frankfurt School",,76782.0,id_ODdjS34AAAAJ,47.0,6.0,5.0,20.0,0.0027657388077546767,0.6092534886799947,30.60096137438747
25,-,Anthony Downey Stark,,P.HD em Fï¿½sica-quï¿½ntica,76627.0,id_C_dhdvAAAAAJ,110.0,31.0,45.0,49.0,0.014379629640302191,0.6450060373361578,32.969283348823
26,+,Geert Hofstede,"Professor Emeritus of Organizational Anthropology and International Management,  &hellip;",bart.nl,74454.0,id_Q2V0P6oAAAAJ,19.0,8.0,8.0,19.0,0.0027869576432891898,0.6410301337216999,32.190854568249456
27,+,Peter M Bentler,"University of California, Los Angeles",ucla.edu,73567.0,id_esb4VbgAAAAJ,48.0,7.0,7.0,29.0,0.0035249783315336202,0.6752971799285052,33.94110791300194
28,-,ï¿½mile Durkheim,"Sociology, Universitï¿½ de Bordeaux, La Sorbonne",,73479.0,id_ZCgFBIMAAAAJ,34.0,5.0,3.0,9.0,0.0011407843388608454,0.6086855024493579,30.491314339410938
