,name,ID,i10_score,rank
60,"Ormel, Johan (Hans)",id_GMREZbsAAAAJ,67.0,60
61,Franco Nori,id_SRUYLREAAAAJ,66.0,62
62,Mark A Rubin,id_e3xidLIAAAAJ,66.0,62
63,Klaus Schulten,id_k7vghtEAAAAJ,66.0,62
64,remuzzi g*,id_LYz-mFwAAAAJ,66.0,62
65,Giuseppe Biondi-Zoccai,id_Y9HjW5oAAAAJ,65.0,66
66,David B. Goldstein,id_RmosgOcAAAAJ,65.0,66
67,Emanuele Daddi,id_7V-EknkAAAAJ,65.0,66
68,Elson Longo,id_OHmp6A4AAAAJ,65.0,66
69,Vladimir Uversky,id_rkVCGU0AAAAJ,63.0,70
70,Nicholas PJ Day,id_a9XBI-wAAAAJ,62.0,71
71,Dr. HB Kekre,id_oiVHiwcAAAAJ,62.0,71
72,Schahram Dustdar,id_0n5S6uUAAAAJ,62.0,71
73,Victor Nizet,id_r6NVrQUAAAAJ,61.0,74
74,Robert Heath,id_17Ko8Q0AAAAJ,61.0,74
75,Laird Kramer,id_zl01EikAAAAJ,61.0,74
76,Sabino Matarrese,id_kkK7BFMAAAAJ,61.0,74
77,Murat Yï¿½cel,id_NYiZ2BkAAAAJ,60.0,78
78,Benjamin J. Eggleton,id_V2cnMDEAAAAJ,60.0,78
79,Francisco Herrera,id_HULIk-QAAAAJ,59.0,80
80,Ajith Abraham,id_i95DGLQAAAAJ,59.0,80
81,Nicole Soranzo,id_WH1kIMIAAAAJ,59.0,80
82,Boris Malomed,id_-zgxVEUAAAAJ,58.0,83
83,Sergei A. Voloshin,id_4KvxNmAAAAAJ,58.0,83
84,Loet Leydesdorff,id_uOru7CEAAAAJ,58.0,83
85,Horst Bischof,id__pq05Q4AAAAJ,58.0,83
86,Loet Leydesdorff,id_ych9gNYAAAAJ,58.0,83
87,Zhengyou Zhang,id_Ll-b-IwAAAAJ,58.0,83
88,Sergio Tufik,id_Cup35-EAAAAJ,58.0,83
89,Jurgen Rehm,id_p5FrCV0AAAAJ,58.0,83
90,Federico Capasso,id_CmpEzW8AAAAJ,58.0,83
91,Muin J. Khoury,id_hmsse84AAAAJ,57.0,92
92,Shuji Ogino,id_87TPyfoAAAAJ,57.0,92
93,Stefano Covino,id_4bHPvm8AAAAJ,57.0,92
94,Paolo Valente,id_nPanavAAAAAJ,57.0,92
95,Aziz Sheikh,id_BWpmAZcAAAAJ,57.0,92
96,Sang Yup Lee,id_gGE8fagAAAAJ,56.0,97
97,Gurdyal Besra,id_AE1_WSIAAAAJ,56.0,97
98,Michael I. Jordan,id_yxUduqMAAAAJ,56.0,97
99,Yusuf A Hannun,id_OH_dPj0AAAAJ,56.0,97
